Nombre|Apellidos|Carrera|Mensualidad
qnzxbjfcslq|jqmbwsffwtfb|siohwxoyiq|5153.660645
khgbzqrmxtk|cckoyyxrexukksrwbfd|dejrxvcaaoejx|526.139099
rygfobiqjvnjsafwa|eaurorszvqazffes|jkxgmbnnd|875.270874
bfmfyhmwno|bwkjaabrlzsaudxv|fglfdoxdjip|1441.999512
hytpxspakborfszd|fxsrfhxuauflydjrxrunlzl|gmhefwxqp|6203.497559
gvclnvylyizsvrrxtfs|rcywqsgbbbehuvqpeejwj|iyfodibapzvge|4490.493652
ssxhhjaehanldhhnup|duwecqaqcobh|oybnsdkhyeie|8028.199219
tfltdgffxkovlbfifvr|ojssccujnovkzvmpf|pgjunykfxh|6225.470703
ljkzyffbkmaxolononl|jpsfpdqdtkucfiznopob|spgolkslovmfk|2451.856934
ngjgxhauou|skddlfijkqzplmzoacym|eupvtzz|9682.302734
lopkvdtfjhohe|gqvuqrbvtakvifgoccdbyhp|ftfotrmdoaj|3595.690674
hfhbihwhxum|wucqffnmehouhln|gmrdavpamy|322.580658
nsxpziasdogjnifquci|afqxjjxbipwokzxjjov|kyvmtdnscwt|3024.384277
rrizcrrlqtqx|thdkhhyxrahicx|cgiptppurexgs|7505.416992
omhkatxiyprgguxbgn|xvayurregzbmaoekzpzky|zdyyztu|6104.922852
nbthycevucbiyc|bbcrbilhtsgamqanumzp|hcaxdzwz|7179.174316
xiuehaivjyj|awicvhwtxsxbarcchqzi|hhrjaucuupuos|1113.620361
cgmvokdwoxr|kurwunxcboqzorpnd|wvvifjg|6336.863281
degtdpzzexvmwtop|zyyyurpkiqhxofq|dibkziiy|2476.577148
brcxpirpkmcwqnkcq|sstkoytducwnajndikdp|xwcnwzwntwm|2459.181396
xckprwvlukcrkbbp|szmfgvlnuzjlpd|rqxndeevixb|7089.449707
vqbcrwkflwzktyxd|hxfaptvssgogj|cyqgeujsik|5293.740723
xzrnkshfsxcqr|qjhmxcvddyke|zoeulchtwolux|3979.003174
hwgskogvwgbg|gfbhhuxvgqrt|cgkpkeiwo|7908.566406
ognnaosulehx|nhsqpjhyvfkslnyl|uaxhtkec|587.176147
